SIGLO,AÑO,CALIDADES,GENERO,TOTAL
XVII,1626,SIN_CATEGORÍA,F,0
XVII,1626,SIN_CATEGORÍA,M,0
XVII,1627,CASTIZA,F,0
XVII,1627,CASTIZA,M,0
XVII,1627,ESPAÑOLA,F,0
XVII,1627,ESPAÑOLA,M,0
XVII,1627,INDIA,F,0
XVII,1627,INDIA,M,0
XVII,1627,MESTIZA,F,0
XVII,1627,MESTIZA,M,0
XVII,1627,MORISCA,F,0
XVII,1627,MORISCA,M,0
XVII,1627,MULATA,F,0
XVII,1627,MULATA,M,0
XVII,1627,NEGRA,F,0
XVII,1627,NEGRA,M,0
XVII,1627,SIN_CATEGORÍA,F,0
XVII,1627,SIN_CATEGORÍA,M,0
XVII,1628,CASTIZA,F,0
XVII,1628,CASTIZA,M,0
XVII,1628,ESPAÑOLA,F,0
XVII,1628,ESPAÑOLA,M,0
XVII,1628,INDIA,F,0
XVII,1628,INDIA,M,0
XVII,1628,MESTIZA,F,0
XVII,1628,MESTIZA,M,0
XVII,1628,MORISCA,F,0
XVII,1628,MORISCA,M,0
XVII,1628,MULATA,F,0
XVII,1628,MULATA,M,0
XVII,1628,NEGRA,F,0
XVII,1628,NEGRA,M,0
XVII,1628,SIN_CATEGORÍA,F,0
XVII,1628,SIN_CATEGORÍA,M,0
XVII,1629,CASTIZA,F,0
XVII,1629,CASTIZA,M,0
XVII,1629,ESPAÑOLA,F,0
XVII,1629,ESPAÑOLA,M,0
XVII,1629,INDIA,F,0
XVII,1629,INDIA,M,0
XVII,1629,MESTIZA,F,0
XVII,1629,MESTIZA,M,0
XVII,1629,MORISCA,F,0
XVII,1629,MORISCA,M,0
XVII,1629,MULATA,F,0
XVII,1629,MULATA,M,0
XVII,1629,NEGRA,F,0
XVII,1629,NEGRA,M,0
XVII,1629,SIN_CATEGORÍA,F,0
XVII,1629,SIN_CATEGORÍA,M,0
XVII,1630,CASTIZA,F,0
XVII,1630,CASTIZA,M,0
XVII,1630,ESPAÑOLA,F,0
XVII,1630,ESPAÑOLA,M,0
XVII,1630,INDIA,F,0
XVII,1630,INDIA,M,0
XVII,1630,MESTIZA,F,0
XVII,1630,MESTIZA,M,0
XVII,1630,MORISCA,F,0
XVII,1630,MORISCA,M,0
XVII,1630,MULATA,F,0
XVII,1630,MULATA,M,0
XVII,1630,NEGRA,F,0
XVII,1630,NEGRA,M,0
XVII,1630,SIN_CATEGORÍA,F,0
XVII,1630,SIN_CATEGORÍA,M,0
XVII,1631,CASTIZA,F,0
XVII,1631,CASTIZA,M,0
XVII,1631,ESPAÑOLA,F,0
XVII,1631,ESPAÑOLA,M,0
XVII,1631,INDIA,F,0
XVII,1631,INDIA,M,0
XVII,1631,MESTIZA,F,0
XVII,1631,MESTIZA,M,0
XVII,1631,MORISCA,F,0
XVII,1631,MORISCA,M,0
XVII,1631,MULATA,F,0
XVII,1631,MULATA,M,0
XVII,1631,NEGRA,F,0
XVII,1631,NEGRA,M,0
XVII,1631,SIN_CATEGORÍA,F,0
XVII,1631,SIN_CATEGORÍA,M,0
XVII,1632,CASTIZA,F,0
XVII,1632,CASTIZA,M,0
XVII,1632,ESPAÑOLA,F,0
XVII,1632,ESPAÑOLA,M,0
XVII,1632,INDIA,F,0
XVII,1632,INDIA,M,0
XVII,1632,MESTIZA,F,0
XVII,1632,MESTIZA,M,0
XVII,1632,MORISCA,F,0
XVII,1632,MORISCA,M,0
XVII,1632,MULATA,F,0
XVII,1632,MULATA,M,0
