SIGLO,AÑO,CALIDADES,GENERO,LEGITIMO,ILEGITIMO,TOTAL
XVII,1617,MULATA,F,,,0
XVII,1617,MULATA,M,0,0,0
XVII,1617,MULATA,M,,,0
XVII,1617,NEGRA,F,1,0,1
XVII,1617,NEGRA,F,,,0
XVII,1617,NEGRA,M,0,0,0
XVII,1617,NEGRA,M,,,0
XVII,1617,SIN_CATEGORÍA,F,18,0,18
XVII,1617,SIN_CATEGORÍA,F,,,0
XVII,1617,SIN_CATEGORÍA,M,20,0,20
XVII,1617,SIN_CATEGORÍA,M,,,0
XVII,1618,INDIA,F,0,0,0
XVII,1618,INDIA,F,,,0
XVII,1618,INDIA,M,0,0,0
XVII,1618,INDIA,M,,,0
XVII,1618,ESPAÑOLA,F,4,0,4
XVII,1618,ESPAÑOLA,F,,,0
XVII,1618,ESPAÑOLA,M,7,0,7
XVII,1618,ESPAÑOLA,M,,,0
XVII,1618,MESTIZA,F,0,0,0
XVII,1618,MESTIZA,F,,,0
XVII,1618,MESTIZA,M,0,0,0
XVII,1618,MESTIZA,M,,,0
XVII,1618,CASTIZA,F,0,0,0
XVII,1618,CASTIZA,F,,,0
XVII,1618,CASTIZA,M,0,0,0
XVII,1618,CASTIZA,M,,,0
XVII,1618,MORISCA,F,0,0,0
XVII,1618,MORISCA,F,,,0
XVII,1618,MORISCA,M,0,0,0
XVII,1618,MORISCA,M,,,0
XVII,1618,MULATA,F,0,1,1
XVII,1618,MULATA,F,,,0
XVII,1618,MULATA,M,0,0,0
XVII,1618,MULATA,M,,,0
XVII,1618,NEGRA,F,0,0,0
XVII,1618,NEGRA,F,,,0
XVII,1618,NEGRA,M,1,0,1
XVII,1618,NEGRA,M,,,0
XVII,1618,SIN_CATEGORÍA,F,17,10,27
XVII,1618,SIN_CATEGORÍA,F,,,0
XVII,1618,SIN_CATEGORÍA,M,18,1,19
XVII,1618,SIN_CATEGORÍA,M,,,0
XVII,1619,INDIA,F,0,0,0
XVII,1619,INDIA,F,,,0
XVII,1619,INDIA,M,1,0,1
XVII,1619,INDIA,M,,,0
XVII,1619,ESPAÑOLA,F,2,0,2
XVII,1619,ESPAÑOLA,F,,,0
XVII,1619,ESPAÑOLA,M,2,0,2
XVII,1619,ESPAÑOLA,M,,,0
XVII,1619,MESTIZA,F,0,0,0
XVII,1619,MESTIZA,F,,,0
XVII,1619,MESTIZA,M,0,0,0
XVII,1619,MESTIZA,M,,,0
XVII,1619,CASTIZA,F,4,1,5
XVII,1619,CASTIZA,F,,,0
XVII,1619,CASTIZA,M,2,0,2
