SIGLO,AÑO,ETNIA_M,ETNIA_F,MATRIMONIOS
XVII,1604,MORISCO,ESPAÑOLA,0
XVII,1604,MORISCO,FEMENINA SIN CATEG.,0
XVII,1604,MORISCO,INDIA,0
XVII,1604,MORISCO,MESTIZA,0
XVII,1604,MORISCO,MORISCA,0
XVII,1604,MORISCO,MULATA,0
XVII,1604,MORISCO,NEGRA,0
XVII,1604,MULATO,CASTIZA,0
XVII,1604,MULATO,ESPAÑOLA,0
XVII,1604,MULATO,FEMENINA SIN CATEG.,0
XVII,1604,MULATO,INDIA,0
XVII,1604,MULATO,MESTIZA,0
XVII,1604,MULATO,MORISCA,0
XVII,1604,MULATO,MULATA,0
XVII,1604,MULATO,NEGRA,0
XVII,1604,NEGRO,CASTIZA,0
XVII,1604,NEGRO,ESPAÑOLA,0
XVII,1604,NEGRO,FEMENINA SIN CATEG.,0
XVII,1604,NEGRO,INDIA,0
XVII,1604,NEGRO,MESTIZA,0
XVII,1604,NEGRO,MORISCA,0
XVII,1604,NEGRO,MULATA,0
XVII,1604,NEGRO,NEGRA,0
XVII,1605,CASTIZO,CASTIZA,0
XVII,1605,CASTIZO,ESPAÑOLA,0
XVII,1605,CASTIZO,FEMENINA SIN CATEG.,0
XVII,1605,CASTIZO,INDIA,0
XVII,1605,CASTIZO,MESTIZA,0
XVII,1605,CASTIZO,MORISCA,0
XVII,1605,CASTIZO,MULATA,0
XVII,1605,CASTIZO,NEGRA,0
XVII,1605,ESPAÑOL,CASTIZA,0
XVII,1605,ESPAÑOL,ESPAÑOLA,0
XVII,1605,ESPAÑOL,FEMENINA SIN CATEG.,0
XVII,1605,ESPAÑOL,INDIA,0
XVII,1605,ESPAÑOL,MESTIZA,0
XVII,1605,ESPAÑOL,MORISCA,0
XVII,1605,ESPAÑOL,MULATA,0
XVII,1605,ESPAÑOL,NEGRA,0
XVII,1605,INDIO,CASTIZA,0
XVII,1605,INDIO,ESPAÑOLA,0
XVII,1605,INDIO,FEMENINA SIN CATEG.,0
XVII,1605,INDIO,INDIA,0
XVII,1605,INDIO,MESTIZA,0
XVII,1605,INDIO,MORISCA,0
XVII,1605,INDIO,MULATA,0
XVII,1605,INDIO,NEGRA,0
XVII,1605,MASCULINO SIN CATEG.,CASTIZA,0
XVII,1605,MASCULINO SIN CATEG.,ESPAÑOLA,0
XVII,1605,MASCULINO SIN CATEG.,FEMENINA SIN CATEG.,0
XVII,1605,MASCULINO SIN CATEG.,INDIA,0
XVII,1605,MASCULINO SIN CATEG.,MESTIZA,0
XVII,1605,MASCULINO SIN CATEG.,MORISCA,0
XVII,1605,MASCULINO SIN CATEG.,MULATA,0
XVII,1605,MASCULINO SIN CATEG.,NEGRA,0
XVII,1605,MESTIZO,CASTIZA,0
XVII,1605,MESTIZO,ESPAÑOLA,0
XVII,1605,MESTIZO,FEMENINA SIN CATEG.,0
XVII,1605,MESTIZO,INDIA,0
XVII,1605,MESTIZO,MESTIZA,0
XVII,1605,MESTIZO,MORISCA,0
XVII,1605,MESTIZO,MULATA,0
XVII,1605,MESTIZO,NEGRA,0
XVII,1605,MORISCO,CASTIZA,0
XVII,1605,MORISCO,ESPAÑOLA,0
XVII,1605,MORISCO,FEMENINA SIN CATEG.,0
XVII,1605,MORISCO,INDIA,0
XVII,1605,MORISCO,MESTIZA,0
XVII,1605,MORISCO,MORISCA,0
XVII,1605,MORISCO,MULATA,0
XVII,1605,MORISCO,NEGRA,0
XVII,1605,MULATO,CASTIZA,0
XVII,1605,MULATO,ESPAÑOLA,0
XVII,1605,MULATO,FEMENINA SIN CATEG.,0
XVII,1605,MULATO,INDIA,0
XVII,1605,MULATO,MESTIZA,0
XVII,1605,MULATO,MORISCA,0
XVII,1605,MULATO,MULATA,0
XVII,1605,MULATO,NEGRA,0
XVII,1605,NEGRO,CASTIZA,0
XVII,1605,NEGRO,ESPAÑOLA,0
XVII,1605,NEGRO,FEMENINA SIN CATEG.,0
XVII,1605,NEGRO,INDIA,0
XVII,1605,NEGRO,MESTIZA,0
XVII,1605,NEGRO,MORISCA,0
XVII,1605,NEGRO,MULATA,0
XVII,1605,NEGRO,NEGRA,0
XVII,1606,CASTIZO,CASTIZA,0
XVII,1606,CASTIZO,ESPAÑOLA,0
XVII,1606,CASTIZO,FEMENINA SIN CATEG.,0
XVII,1606,CASTIZO,INDIA,0
XVII,1606,CASTIZO,MESTIZA,0
XVII,1606,CASTIZO,MORISCA,0
XVII,1606,CASTIZO,MULATA,0
XVII,1606,CASTIZO,NEGRA,0
XVII,1606,ESPAÑOL,CASTIZA,0
XVII,1606,ESPAÑOL,ESPAÑOLA,0
XVII,1606,ESPAÑOL,FEMENINA SIN CATEG.,0
XVII,1606,ESPAÑOL,INDIA,0
XVII,1606,ESPAÑOL,MESTIZA,0
XVII,1606,ESPAÑOL,MORISCA,0
XVII,1606,ESPAÑOL,MULATA,0
XVII,1606,ESPAÑOL,NEGRA,0
XVII,1606,INDIO,CASTIZA,0
XVII,1606,INDIO,ESPAÑOLA,0
XVII,1606,INDIO,FEMENINA SIN CATEG.,0
XVII,1606,INDIO,INDIA,0
XVII,1606,INDIO,MESTIZA,0
XVII,1606,INDIO,MORISCA,0
XVII,1606,INDIO,MULATA,0
XVII,1606,INDIO,NEGRA,0
XVII,1606,MASCULINO SIN CATEG.,CASTIZA,0
XVII,1606,MASCULINO SIN CATEG.,ESPAÑOLA,0
XVII,1606,MASCULINO SIN CATEG.,FEMENINA SIN CATEG.,0
XVII,1606,MASCULINO SIN CATEG.,INDIA,0
XVII,1606,MASCULINO SIN CATEG.,MESTIZA,0
XVII,1606,MASCULINO SIN CATEG.,MORISCA,0
XVII,1606,MASCULINO SIN CATEG.,MULATA,0
XVII,1606,MASCULINO SIN CATEG.,NEGRA,0
XVII,1606,MESTIZO,CASTIZA,0
XVII,1606,MESTIZO,ESPAÑOLA,0
XVII,1606,MESTIZO,FEMENINA SIN CATEG.,0
XVII,1606,MESTIZO,INDIA,0
XVII,1606,MESTIZO,MESTIZA,0
XVII,1606,MESTIZO,MORISCA,0
XVII,1606,MESTIZO,MULATA,0
XVII,1606,MESTIZO,NEGRA,0
XVII,1606,MORISCO,CASTIZA,0
XVII,1606,MORISCO,ESPAÑOLA,0
XVII,1606,MORISCO,FEMENINA SIN CATEG.,0
XVII,1606,MORISCO,INDIA,0
XVII,1606,MORISCO,MESTIZA,0
XVII,1606,MORISCO,MORISCA,0
XVII,1606,MORISCO,MULATA,0
XVII,1606,MORISCO,NEGRA,0
XVII,1606,MULATO,CASTIZA,0
XVII,1606,MULATO,ESPAÑOLA,0
XVII,1606,MULATO,FEMENINA SIN CATEG.,0
XVII,1606,MULATO,INDIA,0
XVII,1606,MULATO,MESTIZA,0
XVII,1606,MULATO,MORISCA,0
XVII,1606,MULATO,MULATA,0
XVII,1606,MULATO,NEGRA,0
XVII,1606,NEGRO,CASTIZA,0
XVII,1606,NEGRO,ESPAÑOLA,0
XVII,1606,NEGRO,FEMENINA SIN CATEG.,0
XVII,1606,NEGRO,INDIA,0
XVII,1606,NEGRO,MESTIZA,0
XVII,1606,NEGRO,MORISCA,0
XVII,1606,NEGRO,MULATA,0
XVII,1606,NEGRO,NEGRA,0
XVII,1607,CASTIZO,CASTIZA,0
XVII,1607,CASTIZO,ESPAÑOLA,0
XVII,1607,CASTIZO,FEMENINA SIN CATEG.,0
XVII,1607,CASTIZO,INDIA,0
XVII,1607,CASTIZO,MESTIZA,0
XVII,1607,CASTIZO,MORISCA,0
XVII,1607,CASTIZO,MULATA,0
XVII,1607,CASTIZO,NEGRA,0
XVII,1607,ESPAÑOL,CASTIZA,0
XVII,1607,ESPAÑOL,ESPAÑOLA,0
XVII,1607,ESPAÑOL,FEMENINA SIN CATEG.,0
XVII,1607,ESPAÑOL,INDIA,0
XVII,1607,ESPAÑOL,MESTIZA,0
XVII,1607,ESPAÑOL,MORISCA,0
XVII,1607,ESPAÑOL,MULATA,0
XVII,1607,ESPAÑOL,NEGRA,0
XVII,1607,INDIO,CASTIZA,0
XVII,1607,INDIO,ESPAÑOLA,0
XVII,1607,INDIO,FEMENINA SIN CATEG.,0
XVII,1607,INDIO,INDIA,0
XVII,1607,INDIO,MESTIZA,0
XVII,1607,INDIO,MORISCA,0
XVII,1607,INDIO,MULATA,0
XVII,1607,INDIO,NEGRA,0
XVII,1607,MASCULINO SIN CATEG.,CASTIZA,0
XVII,1607,MASCULINO SIN CATEG.,ESPAÑOLA,0
XVII,1607,MASCULINO SIN CATEG.,FEMENINA SIN CATEG.,1
XVII,1607,MASCULINO SIN CATEG.,INDIA,0
XVII,1607,MASCULINO SIN CATEG.,MESTIZA,0
XVII,1607,MASCULINO SIN CATEG.,MORISCA,0
XVII,1607,MASCULINO SIN CATEG.,MULATA,0
XVII,1607,MASCULINO SIN CATEG.,NEGRA,0
XVII,1607,MESTIZO,CASTIZA,0
XVII,1607,MESTIZO,ESPAÑOLA,0
XVII,1607,MESTIZO,FEMENINA SIN CATEG.,0
XVII,1607,MESTIZO,INDIA,0
XVII,1607,MESTIZO,MESTIZA,0
XVII,1607,MESTIZO,MORISCA,0
XVII,1607,MESTIZO,MULATA,0
XVII,1607,MESTIZO,NEGRA,0
XVII,1607,MORISCO,CASTIZA,0
XVII,1607,MORISCO,ESPAÑOLA,0
XVII,1607,MORISCO,FEMENINA SIN CATEG.,0
XVII,1607,MORISCO,INDIA,0
XVII,1607,MORISCO,MESTIZA,0
XVII,1607,MORISCO,MORISCA,0
XVII,1607,MORISCO,MULATA,0
XVII,1607,MORISCO,NEGRA,0
XVII,1607,MULATO,CASTIZA,0
XVII,1607,MULATO,ESPAÑOLA,0
XVII,1607,MULATO,FEMENINA SIN CATEG.,0
XVII,1607,MULATO,INDIA,0
XVII,1607,MULATO,MESTIZA,0
XVII,1607,MULATO,MORISCA,0
XVII,1607,MULATO,MULATA,0
XVII,1607,MULATO,NEGRA,0
XVII,1607,NEGRO,CASTIZA,0
XVII,1607,NEGRO,ESPAÑOLA,0
XVII,1607,NEGRO,FEMENINA SIN CATEG.,0
XVII,1607,NEGRO,INDIA,0
XVII,1607,NEGRO,MESTIZA,0
XVII,1607,NEGRO,MORISCA,0
XVII,1607,NEGRO,MULATA,0
XVII,1607,NEGRO,NEGRA,0
XVII,1608,CASTIZO,CASTIZA,0
XVII,1608,CASTIZO,ESPAÑOLA,0
XVII,1608,CASTIZO,FEMENINA SIN CATEG.,0
XVII,1608,CASTIZO,INDIA,0
XVII,1608,CASTIZO,MESTIZA,0
XVII,1608,CASTIZO,MORISCA,0
XVII,1608,CASTIZO,MULATA,0
XVII,1608,CASTIZO,NEGRA,0
XVII,1608,ESPAÑOL,CASTIZA,0
XVII,1608,ESPAÑOL,ESPAÑOLA,0
XVII,1608,ESPAÑOL,FEMENINA SIN CATEG.,0
XVII,1608,ESPAÑOL,INDIA,0
XVII,1608,ESPAÑOL,MESTIZA,0
XVII,1608,ESPAÑOL,MORISCA,0
XVII,1608,ESPAÑOL,MULATA,0
XVII,1608,ESPAÑOL,NEGRA,0
XVII,1608,INDIO,CASTIZA,0
XVII,1608,INDIO,ESPAÑOLA,0
XVII,1608,INDIO,FEMENINA SIN CATEG.,0
XVII,1608,INDIO,INDIA,1
XVII,1608,INDIO,MESTIZA,0
XVII,1608,INDIO,MORISCA,0
XVII,1608,INDIO,MULATA,0
XVII,1608,INDIO,NEGRA,0
XVII,1608,MASCULINO SIN CATEG.,CASTIZA,0
XVII,1608,MASCULINO SIN CATEG.,ESPAÑOLA,0
XVII,1608,MASCULINO SIN CATEG.,FEMENINA SIN CATEG.,0
XVII,1608,MASCULINO SIN CATEG.,INDIA,0
XVII,1608,MASCULINO SIN CATEG.,MESTIZA,0
XVII,1608,MASCULINO SIN CATEG.,MORISCA,0
XVII,1608,MASCULINO SIN CATEG.,MULATA,0
XVII,1608,MASCULINO SIN CATEG.,NEGRA,0
XVII,1608,MESTIZO,CASTIZA,0
XVII,1608,MESTIZO,ESPAÑOLA,0
XVII,1608,MESTIZO,FEMENINA SIN CATEG.,0
XVII,1608,MESTIZO,INDIA,0
XVII,1608,MESTIZO,MESTIZA,0
XVII,1608,MESTIZO,MORISCA,0
XVII,1608,MESTIZO,MULATA,0
XVII,1608,MESTIZO,NEGRA,0
XVII,1608,MORISCO,CASTIZA,0
XVII,1608,MORISCO,ESPAÑOLA,0
XVII,1608,MORISCO,FEMENINA SIN CATEG.,0
XVII,1608,MORISCO,INDIA,0
XVII,1608,MORISCO,MESTIZA,0
XVII,1608,MORISCO,MORISCA,0
XVII,1608,MORISCO,MULATA,0
XVII,1608,MORISCO,NEGRA,0
XVII,1608,MULATO,CASTIZA,0
XVII,1608,MULATO,ESPAÑOLA,0
XVII,1608,MULATO,FEMENINA SIN CATEG.,0
XVII,1608,MULATO,INDIA,0
XVII,1608,MULATO,MESTIZA,0
XVII,1608,MULATO,MORISCA,0
XVII,1608,MULATO,MULATA,0
XVII,1608,MULATO,NEGRA,0
XVII,1608,NEGRO,CASTIZA,0
XVII,1608,NEGRO,ESPAÑOLA,0
XVII,1608,NEGRO,FEMENINA SIN CATEG.,0
XVII,1608,NEGRO,INDIA,0
XVII,1608,NEGRO,MESTIZA,0
XVII,1608,NEGRO,MORISCA,0
XVII,1608,NEGRO,MULATA,0
XVII,1608,NEGRO,NEGRA,0
XVII,1609,CASTIZO,CASTIZA,0
XVII,1609,CASTIZO,ESPAÑOLA,0
XVII,1609,CASTIZO,FEMENINA SIN CATEG.,0
XVII,1609,CASTIZO,INDIA,0
XVII,1609,CASTIZO,MESTIZA,0
XVII,1609,CASTIZO,MORISCA,0
XVII,1609,CASTIZO,MULATA,0
XVII,1609,CASTIZO,NEGRA,0
XVII,1609,ESPAÑOL,CASTIZA,0
XVII,1609,ESPAÑOL,ESPAÑOLA,0
XVII,1609,ESPAÑOL,FEMENINA SIN CATEG.,0
XVII,1609,ESPAÑOL,INDIA,0
XVII,1609,ESPAÑOL,MESTIZA,0
XVII,1609,ESPAÑOL,MORISCA,0
XVII,1609,ESPAÑOL,MULATA,0
XVII,1609,ESPAÑOL,NEGRA,0
XVII,1609,INDIO,CASTIZA,0
XVII,1609,INDIO,ESPAÑOLA,0
XVII,1609,INDIO,FEMENINA SIN CATEG.,0
XVII,1609,INDIO,INDIA,2
XVII,1609,INDIO,MESTIZA,0
XVII,1609,INDIO,MORISCA,0
XVII,1609,INDIO,MULATA,0
XVII,1609,INDIO,NEGRA,0
XVII,1609,MASCULINO SIN CATEG.,CASTIZA,0
XVII,1609,MASCULINO SIN CATEG.,ESPAÑOLA,0
XVII,1609,MASCULINO SIN CATEG.,FEMENINA SIN CATEG.,0
